unique_id,dataset,participant_id,age_ses-T1,sex,handedness,lives_with,mother_highest_grade,father_highest_grade,WJ-III_WordID_Raw,WJ-III_WordID_StS,WJ-III_WA_Raw,WJ-III_WA_StS,WJ-III_PassComp_Raw,WJ-III_PassComp_StS,WJ-III_MathFluency_Raw,WJ-III_MathFluency_StS,WJ-III_SpatialRelations_Raw,WJ-III_SpatialRelations_Letter,WJ-III_SpatialRelations_StS,WJ-III_BRS_StS,CTOPP_EL_Raw,CTOPP_EL_StS,CTOPP_BW_Raw,CTOPP_BW_StS,CTOPP_RD_Raw,CTOPP_RD_StS,CTOPP_RL_Raw,CTOPP_RL_StS,CTOPP_PhonAwareness_Comp,CTOPP_RapidNaming_Comp,WASI_Vocab_Raw,WASI_Vocab_T-Score,WASI_BD_Raw,WASI_BD_T-Score,WASI_Sim_Raw,WASI_Sim_T-Score,WASI_MR_Raw,WASI_MR_T-Score,WASI_Verbal_SumTScores,WASI_VIQ,WASI_Perf_SumTScores,WASI_PIQ,WASI_FSIQ_SumTScores,WASI_FSIQ
ds001486_sub-0087,ds001486,sub-087,13.43,male,right,Both Parents,5,4,60,102,25,100,35,105,55,77,62,D,92,102,8,5,13,9,32,8,33,8,82,88,43,48,16,39,28,47,20,42,95,96,81,86,179,89
ds001486_sub-0088,ds001486,sub-088,9.9,female,right,Mother,4,n/a,49,98,17,96,30,100,35,80,40,C,82,97,5,5,8,7,35,10,44,8,76,94,34,48,6,37,26,56,19,49,104,103,86,89,190,96
ds001486_sub-0089,ds001486,sub-089,10.07,female,right,Father and Grandmother,n/a,4,59,114,26,109,28,96,37,80,67,D,105,112,8,7,13,10,32,11,39,10,91,103,30,43,28,58,28,60,23,55,103,102,113,109,216,107
ds001486_sub-0090,ds001486,sub-090,12.81,male,right,Mother,3,2,30,116,71,106,77,94,34,100,61,n/a,103,111,16,9,19,14,27,10,32,9,109,97,49,55,39,55,32,55,30,62,110,108,117,114,127,112
ds001486_sub-0091,ds001486,sub-091,13.25,female,right,Both Parents,3,3,56,94,19,91,28,84,106,108,56,D,84,92,11,6,12,8,28,9,29,10,82,97,51,56,33,50,35,60,25,50,116,112,100,99,216,107
ds001486_sub-0092,ds001486,sub-092,10.57,male,right,Both Parents,5,5,57,106,24,103,32,102,23,63,56,D,88,105,16,10,17,12,33,10,37,9,106,97,47,61,15,45,36,73,23,52,134,130,97,97,231,114
ds001486_sub-0093,ds001486,sub-093,9.95,male,right,Both Parents,5,5,64,123,24,105,34,113,49,92,73,D,117,116,18,13,18,14,36,10,35,11,121,103,42,59,48,73,29,62,28,65,121,117,138,135,259,129
ds001486_sub-0094,ds001486,sub-094,13.02,male,right,Both Parents (Adopted),5,3,62,104,23,97,36,107,71,88,60,D,32,100,18,11,14,9,25,11,30,10,100,103,43,47,27,46,34,59,15,31,106,105,77,83,183,92
ds001486_sub-0095,ds001486,sub-095,11.33,male,right,Mother,3,N/A,60,110,24,102,31,97,42,76,69,D,105,106,16,9,18,13,44,6,41,7,106,79,46,57,26,51,31,60,27,59,117,113,110,107,227,112
ds001486_sub-0096,ds001486,sub-096,10.9,female,right,Mother,2,2,53,98,19,95,27,90,43,79,71,D,110,97,15,9,7,5,37,8,48,7,82,85,30,39,18,47,23,46,27,59,85,88,106,104,191,96
ds001486_sub-0097,ds001486,sub-097,10.6,male,right,Mother,4,3,46,91,16,93,27,92,79,110,61,D,95,91,16,10,9,7,23,14,22,17,91,133,34,44,18,48,23,47,30,66,91,93,114,110,205,102
